codigo_cie,nombre,categoria,palabras_clave,sintomas
D0001,Taquicardia supraventricular,Enfermedades cardiovasculares,"['azúcar en sangre', 'epilepsia', 'hipotiroidismo', 'alergia', 'infección', 'dolor']","['diarrea', 'vómitos', 'náuseas', 'dolor de cabeza', 'confusión', 'fatiga']"
D0002,Taquicardia ventricular,Enfermedades cardiovasculares,"['eczema', 'problema digestivo', 'infección', 'depresión', 'cáncer', 'diabetes']","['dolor torácico', 'dificultad para respirar', 'fiebre', 'mareos', 'tos', 'problemas para dormir']"
D0003,Fibrilación auricular,Enfermedades cardiovasculares,"['infección', 'eczema', 'cáncer', 'alergia', 'ataque al corazón', 'asma']","['problemas para dormir', 'dolor torácico', 'pérdida de apetito', 'dolor abdominal', 'hinchazón', 'pérdida de memoria']"
D0004,Fibrilación ventricular,Enfermedades cardiovasculares,"['artritis', 'asma', 'depresión', 'eczema', 'alergia', 'hipotiroidismo']","['vómitos', 'mareos', 'pérdida de memoria', 'dolor de cabeza', 'hinchazón', 'visión borrosa']"
D0005,Bradicardia sinusal,Enfermedades cardiovasculares,"['asma', 'artritis', 'dolor', 'depresión', 'epilepsia', 'inflamación']","['fiebre', 'tos', 'mareos', 'pérdida de peso', 'visión borrosa', 'náuseas']"
D0006,Síndrome de QT largo,Enfermedades cardiovasculares,"['inflamación', 'infección', 'hipotiroidismo', 'dolor', 'azúcar en sangre', 'depresión']","['dolor abdominal', 'mareos', 'sangrado', 'visión borrosa', 'confusión', 'dolor de cabeza']"
D0007,Síndrome de Brugada,Enfermedades cardiovasculares,"['dolor', 'hipotiroidismo', 'colesterol', 'alergia', 'ataque al corazón', 'eczema']","['fiebre', 'hinchazón', 'pérdida de apetito', 'vómitos', 'dolor torácico', 'mareos']"
D0008,Insuficiencia cardíaca congestiva,Enfermedades cardiovasculares,"['eczema', 'epilepsia', 'artritis', 'problema cardíaco', 'asma', 'presión alta']","['dificultad para respirar', 'confusión', 'dolor de cabeza', 'fatiga', 'pérdida de apetito', 'fiebre']"
D0009,Cardiomiopatía dilatada,Enfermedades cardiovasculares,"['dolor', 'depresión', 'epilepsia', 'alergia', 'problema cardíaco', 'ansiedad']","['visión borrosa', 'pérdida de memoria', 'dificultad para respirar', 'dolor abdominal', 'hinchazón', 'mareos']"
D0010,Cardiomiopatía hipertrófica,Enfermedades cardiovasculares,"['colesterol', 'eczema', 'presión alta', 'infección', 'ataque al corazón', 'azúcar en sangre']","['dolor de cabeza', 'hinchazón', 'dolor abdominal', 'náuseas', 'pérdida de memoria', 'problemas para dormir']"
D0011,Enfermedad coronaria,Enfermedades cardiovasculares,"['inflamación', 'colesterol', 'problema cardíaco', 'azúcar en sangre', 'alergia', 'artritis']","['sangrado', 'mareos', 'tos', 'fiebre', 'problemas para dormir', 'dolor abdominal']"
D0012,Infarto agudo de miocardio anterior,Enfermedades cardiovasculares,"['epilepsia', 'colesterol', 'problema digestivo', 'dolor', 'problema cardíaco', 'alergia']","['pérdida de memoria', 'fatiga', 'diarrea', 'dolor torácico', 'dolor abdominal', 'dolor de cabeza']"
D0013,Infarto agudo de miocardio inferior,Enfermedades cardiovasculares,"['depresión', 'presión alta', 'ansiedad', 'problema digestivo', 'alergia', 'infección']","['pérdida de apetito', 'dolor abdominal', 'dolor torácico', 'tos', 'fatiga', 'sangrado']"
D0014,Hipertensión sistémica,Enfermedades cardiovasculares,"['diabetes', 'eczema', 'azúcar en sangre', 'asma', 'ansiedad', 'ataque al corazón']","['dificultad para respirar', 'vómitos', 'hinchazón', 'dolor torácico', 'dolor abdominal', 'dolor de cabeza']"
D0015,Hipertensión pulmonar,Enfermedades cardiovasculares,"['inflamación', 'ictus', 'cáncer', 'problema cardíaco', 'problema digestivo', 'dolor']","['problemas para dormir', 'náuseas', 'dolor abdominal', 'fatiga', 'pérdida de memoria', 'hinchazón']"
D0016,Angina estable,Enfermedades cardiovasculares,"['cáncer', 'presión alta', 'eczema', 'infección', 'ictus', 'epilepsia']","['dificultad para respirar', 'hinchazón', 'pérdida de peso', 'pérdida de memoria', 'fiebre', 'confusión']"
D0017,Angina inestable,Enfermedades cardiovasculares,"['ansiedad', 'colesterol', 'alergia', 'inflamación', 'asma', 'cáncer']","['vómitos', 'fiebre', 'problemas para dormir', 'tos', 'dificultad para respirar', 'diarrea']"
D0018,Prolapso de válvula mitral,Enfermedades cardiovasculares,"['depresión', 'artritis', 'eczema', 'infección', 'alergia', 'presión alta']","['pérdida de apetito', 'dolor torácico', 'pérdida de memoria', 'hinchazón', 'dificultad para respirar', 'tos']"
